id,name,age,Isstudent,major,specialty,personalHistory,isInterview,introduction
125,조현우,60,0,통계학과,회계세무재무,10,0,멘티의 성장과 목표 달성을 위해 회계세무재무에서 함께 노력하겠습니다.
126,이민수,85,0,행정학과,고객상담TM,20,1,20년 이상의 경력을 통해 여러분을 고객상담TM 전문가로 성장시켜드리겠습니다.
127,정다은,72,0,정치외교학과,영업판매무역,10,1,편안한 분위기에서 멘티들을 영업판매무역 분야로 이끌어드리겠습니다.
128,장미정,74,0,경영학과,영업판매무역,10,1,영업판매무역에 대한 열정을 가진 멘티들에게 실질적인 조언을 제공하겠습니다.
129,문지훈,71,0,수학과,미디어문화스포츠,30,1,30년 이상의 경력을 통해 여러분을 미디어문화스포츠 전문가로 성장시켜드리겠습니다.
130,장미정,71,0,정치외교학과,건설건축,20,1,세심함의 강점을 살려 저의 건설건축 노하우를 알려드리겠습니다.
131,조현우,80,0,건축학과,총무법무사무,30,0,편안한 분위기에서 멘티들을 총무법무사무 분야로 이끌어드리겠습니다.
132,박영희,66,0,미디어커뮤니케이션학과,공공복지,30,0,공공복지에 대한 열정을 가진 멘티들에게 실질적인 조언을 제공하겠습니다.
133,정다은,79,0,수학과,건설건축,10,1,10년 이상의 경력을 통해 여러분을 건설건축 전문가로 성장시켜드리겠습니다.
134,최은정,63,0,국어국문학과,고객상담TM,10,0,세심함의 강점을 살려 저의 고객상담TM 노하우를 알려드리겠습니다.
135,조현우,83,0,수학과,총무법무사무,30,1,30년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
136,정다은,85,0,컴퓨터공학,공공복지,30,1,다양한 경험과 30년의 경력을 통해 멘티 여러분을 지원하겠습니다.
137,문지훈,85,0,컴퓨터공학,총무법무사무,20,0,20년 이상의 경력을 통해 여러분을 총무법무사무 전문가로 성장시켜드리겠습니다.
138,박영희,79,0,미디어커뮤니케이션학과,공공복지,20,0,세심함의 강점을 살려 저의 공공복지 노하우를 알려드리겠습니다.
139,조현우,65,0,사학과,인사노무HRD,20,1,세심함의 강점을 살려 저의 인사노무HRD 노하우를 알려드리겠습니다.
140,황지수,69,0,중어중문학과,회계세무재무,20,1,세심함의 강점을 살려 저의 회계세무재무 노하우를 알려드리겠습니다.
141,정다은,74,0,행정학과,고객상담TM,10,1,멘티의 성장과 목표 달성을 위해 고객상담TM에서 함께 노력하겠습니다.
142,장미정,72,0,국어국문학과,교육,30,0,멘티의 성장과 목표 달성을 위해 교육에서 함께 노력하겠습니다.
143,김철수,75,0,물리학과,미디어문화스포츠,20,0,편안한 분위기에서 멘티들을 미디어문화스포츠 분야로 이끌어드리겠습니다.
144,신동엽,75,0,지리학과,상품기획MD,20,0,멘티의 성장과 목표 달성을 위해 상품기획MD에서 함께 노력하겠습니다.
145,최은정,84,0,사학과,구매자재물류,10,1,10년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
146,문지훈,73,0,물리학과,영업판매무역,30,1,영업판매무역 분야의 전문성을 바탕으로 멘티에게 실질적인 도움을 드리겠습니다.
147,김철수,83,0,중어중문학과,총무법무사무,20,1,총무법무사무 분야의 전문성을 바탕으로 멘티에게 실질적인 도움을 드리겠습니다.
148,신동엽,76,0,경영학과,생산,10,0,세심함의 강점을 살려 저의 생산 노하우를 알려드리겠습니다.
149,문지훈,74,0,컴퓨터공학,구매자재물류,30,1,세심함의 강점을 살려 저의 구매자재물류 노하우를 알려드리겠습니다.
150,정다은,79,0,전기전자공학,영업판매무역,20,0,영업판매무역에 대한 열정을 가진 멘티들에게 실질적인 조언을 제공하겠습니다.
151,문지훈,66,0,중어중문학과,연구R&D,30,0,연구R&D에 대한 열정을 가진 멘티들에게 실질적인 조언을 제공하겠습니다.
152,신동엽,76,0,국어국문학과,운전운송배송,20,0,20년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
153,조현우,85,0,경제학과,운전운송배송,10,0,10년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
154,장미정,83,0,사학과,미디어문화스포츠,20,1,세심함의 강점을 살려 저의 미디어문화스포츠 노하우를 알려드리겠습니다.
155,조현우,82,0,지리학과,상품기획MD,20,0,20년 이상의 경력을 통해 여러분을 상품기획MD 전문가로 성장시켜드리겠습니다.
156,조현우,81,0,철학과,금융보험,10,0,금융보험 분야의 전문성을 바탕으로 멘티에게 실질적인 도움을 드리겠습니다.
157,최은정,63,0,중어중문학과,총무법무사무,30,0,총무법무사무 분야의 전문성을 바탕으로 멘티에게 실질적인 도움을 드리겠습니다.
158,신동엽,63,0,중어중문학과,상품기획MD,30,1,편안한 분위기에서 멘티들을 상품기획MD 분야로 이끌어드리겠습니다.
159,정다은,71,0,사학과,회계세무재무,10,0,10년 이상의 경력을 통해 여러분을 회계세무재무 전문가로 성장시켜드리겠습니다.
160,조현우,65,0,통계학과,디자인,30,1,세심함의 강점을 살려 저의 디자인 노하우를 알려드리겠습니다.
161,정다은,63,0,수학과,회계세무재무,30,1,세심함의 강점을 살려 저의 회계세무재무 노하우를 알려드리겠습니다.
162,조현우,79,0,지리학과,회계세무재무,30,0,세심함의 강점을 살려 저의 회계세무재무 노하우를 알려드리겠습니다.
163,황지수,74,0,기계공학과,서비스,10,0,편안한 분위기에서 멘티들을 서비스 분야로 이끌어드리겠습니다.
164,신동엽,87,0,기계공학과,금융보험,20,0,금융보험에 대한 열정을 가진 멘티들에게 실질적인 조언을 제공하겠습니다.
165,신동엽,79,0,경제학과,금융보험,10,1,10년 이상의 경력을 통해 여러분을 금융보험 전문가로 성장시켜드리겠습니다.
166,박영희,70,0,전기전자공학,금융보험,30,1,30년 이상의 경력을 통해 여러분을 금융보험 전문가로 성장시켜드리겠습니다.
167,최은정,65,0,건축학과,회계세무재무,30,1,다양한 경험과 30년의 경력을 통해 멘티 여러분을 지원하겠습니다.
168,문지훈,68,0,정치외교학과,서비스,20,1,20년 이상의 경력을 통해 여러분을 서비스 전문가로 성장시켜드리겠습니다.
169,장미정,63,0,미디어커뮤니케이션학과,인사노무HRD,20,0,20년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
170,정다은,68,0,물리학과,의료,10,1,10년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
171,황지수,77,0,수학과,생산,10,0,다양한 경험과 10년의 경력을 통해 멘티 여러분을 지원하겠습니다.
172,박영희,83,0,화학과,서비스,10,0,편안한 분위기에서 멘티들을 서비스 분야로 이끌어드리겠습니다.
173,김철수,69,0,통계학과,인사노무HRD,30,0,세심함의 강점을 살려 저의 인사노무HRD 노하우를 알려드리겠습니다.
174,문지훈,84,0,미디어커뮤니케이션학과,디자인,30,1,30년 동안 쌓아온 경험을 바탕으로 멘티들에게 도움을 드리고 싶습니다.
175,최은정,60,0,중어중문학과,기획전략,10,1,세심함의 강점을 살려 저의 기획전략 노하우를 알려드리겠습니다.
176,김철수,84,0,물리학과,공공복지,20,1,20년 이상의 경력을 통해 여러분을 공공복지 전문가로 성장시켜드리겠습니다.
177,조현우,63,0,미디어커뮤니케이션학과,교육,10,0,교육 분야의 전문성을 바탕으로 멘티에게 실질적인 도움을 드리겠습니다.
178,황지수,71,0,철학과,고객상담TM,30,0,세심함의 강점을 살려 저의 고객상담TM 노하우를 알려드리겠습니다.
179,김철수,86,0,국어국문학과,회계세무재무,10,0,멘티의 성장과 목표 달성을 위해 회계세무재무에서 함께 노력하겠습니다.
180,조현우,80,0,통계학과,회계세무재무,30,0,편안한 분위기에서 멘티들을 회계세무재무 분야로 이끌어드리겠습니다.
181,박영희,61,0,컴퓨터공학,생산,30,0,편안한 분위기에서 멘티들을 생산 분야로 이끌어드리겠습니다.
182,이민수,69,0,정치외교학과,서비스,30,0,서비스 분야의 전문성을 바탕으로 멘티에게 실질적인 도움을 드리겠습니다.
183,조현우,66,0,철학과,기획전략,20,0,편안한 분위기에서 멘티들을 기획전략 분야로 이끌어드리겠습니다.
184,황지수,85,0,화학공학과,상품기획MD,20,0,상품기획MD에 대한 열정을 가진 멘티들에게 실질적인 조언을 제공하겠습니다.
185,조현우,61,0,화학공학과,구매자재물류,10,0,구매자재물류 분야의 전문성을 바탕으로 멘티에게 실질적인 도움을 드리겠습니다.
186,정다은,71,0,경제학과,영업판매무역,30,0,다양한 경험과 30년의 경력을 통해 멘티 여러분을 지원하겠습니다.
187,김철수,84,0,통계학과,회계세무재무,20,1,20년 이상의 경력을 통해 여러분을 회계세무재무 전문가로 성장시켜드리겠습니다.
188,박영희,61,0,경영학과,회계세무재무,10,0,회계세무재무에 대한 열정을 가진 멘티들에게 실질적인 조언을 제공하겠습니다.
189,조현우,62,0,철학과,운전운송배송,10,1,운전운송배송에 대한 열정을 가진 멘티들에게 실질적인 조언을 제공하겠습니다.
190,김철수,79,0,지리학과,금융보험,10,0,편안한 분위기에서 멘티들을 금융보험 분야로 이끌어드리겠습니다.
191,문지훈,67,0,경제학과,교육,30,0,다양한 경험과 30년의 경력을 통해 멘티 여러분을 지원하겠습니다.
192,이민수,84,0,철학과,인사노무HRD,10,1,인사노무HRD에 대한 열정을 가진 멘티들에게 실질적인 조언을 제공하겠습니다.
193,신동엽,67,0,전기전자공학,상품기획MD,30,0,멘티의 성장과 목표 달성을 위해 상품기획MD에서 함께 노력하겠습니다.
194,최은정,70,0,정치외교학과,생산,30,1,생산 분야의 전문성을 바탕으로 멘티에게 실질적인 도움을 드리겠습니다.
195,정다은,80,0,사학과,미디어문화스포츠,10,1,세심함의 강점을 살려 저의 미디어문화스포츠 노하우를 알려드리겠습니다.
196,김철수,60,0,통계학과,운전운송배송,30,0,운전운송배송에 대한 열정을 가진 멘티들에게 실질적인 조언을 제공하겠습니다.
197,박영희,71,0,철학과,운전운송배송,20,1,멘티의 성장과 목표 달성을 위해 운전운송배송에서 함께 노력하겠습니다.
198,박영희,76,0,철학과,IT개발데이터,10,0,IT개발데이터에 대한 열정을 가진 멘티들에게 실질적인 조언을 제공하겠습니다.
199,신동엽,72,0,경제학과,생산,30,0,생산에 대한 열정을 가진 멘티들에게 실질적인 조언을 제공하겠습니다.
200,정다은,78,0,경영학과,회계세무재무,30,0,다양한 경험과 30년의 경력을 통해 멘티 여러분을 지원하겠습니다.
201,신동엽,61,0,미디어커뮤니케이션학과,공공복지,30,0,30년 이상의 경력을 통해 여러분을 공공복지 전문가로 성장시켜드리겠습니다.
202,정다은,83,0,기계공학과,건설건축,30,0,다양한 경험과 30년의 경력을 통해 멘티 여러분을 지원하겠습니다.
203,신동엽,76,0,수학과,연구R&D,20,1,편안한 분위기에서 멘티들을 연구R&D 분야로 이끌어드리겠습니다.
204,최은정,63,0,지리학과,금융보험,30,1,금융보험에 대한 열정을 가진 멘티들에게 실질적인 조언을 제공하겠습니다.
205,최은정,76,0,중어중문학과,서비스,10,1,세심함의 강점을 살려 저의 서비스 노하우를 알려드리겠습니다.
